key,zh-CN,en-US,ja-JP,,,
app_name,NeaiChat,NeaiChat,NeaiChat,,,
new_chat,新对话,New Chat,新しいチャット,,,
standard_mode,普通对话,Standard Mode,標準モード,,,
standard_mode_desc,智能问答、文档分析与通用服务,Q&A and document analysis,質疑応答とドキュメント解析,,,
coding_mode,编程模式,Coding Mode,コーディングモード,,,
coding_mode_desc,独立 VFS，支持 HTML/JS/CSS 与图表应用,Isolated VFS with HTML/JS/CSS and charts,独立VFS、HTML/JS/CSSとチャート対応,,,
search_placeholder,搜索历史对话...,Search chat history...,チャット履歴を検索...,,,
no_chats,暂无历史对话,No chat history,チャット履歴がありません,,,
no_match_chats,没有找到匹配的对话,No matching chats found,一致するチャットが見つかりません,,,
clear_all_chats,清除所有对话,Clear All Chats,全チャット消去,,,
history_usage,累计消耗,Usage Stats,使用量統計,,,
vfs_explorer,虚拟文件系统,Global VFS Explorer,グローバルVFSエクスプローラー,,,
watermark_center,水印设置,Watermark Center,透かしセンター,,,
compliance,标准,Standard,標準,,,
prompt_library,提示词库,Prompt Library,プロンプト集,,,
settings,设置,Settings,設定,,,
rename,重命名,Rename,名前変更,,,
delete,删除,Delete,削除,,,
input_placeholder,发送消息...,Type a message...,メッセージを入力...,,,
input_local_voice,输入消息...,Type message (Local voice mode)...,メッセージを入力 (ローカル音声モード)...,,,
listening,正在倾听...,Listening...,聞き取り中...,,,
listening_local,本地语音识别中...,Local speech recognition...,ローカル音声認識中...,,,
transcribing,语音转换中...,Transcribing...,文字起こし中...,,,
stop_generation,停止生成,Stop Generation,生成停止,,,
send_message,发送消息,Send Message,送信,,,
more_actions,更多操作,More Actions,その他の操作,,,
upload_file,上传文件,Upload File,ファイルをアップロード,,,
add_attachment,添加附件,Add Attachment,添付追加,,,
welcome_subtitle,输入需求或从左侧新建对话，开始私密聊天。,Enter a prompt or start a new chat.,要望を入力するか、左側から新しいチャットを開始してください。,,,
pinned_messages,置顶消息,Pinned Messages,ピン留めメッセージ,,,
unpin,取消置顶,Unpin,ピン留め解除,,,
pin,置顶,Pin,ピン留め,,,
thought_process,深度思考过程,Reasoning Process,思考プロセス,,,
thinking,思考中...,Thinking...,思考中...,,,
copy,复制,Copy,コピー,,,
copied,已复制,Copied,コピー完了,,,
regenerate,重新生成,Regenerate,再生成,,,
edit,编辑,Edit,編集,,,
branch,分支对话,Branch Chat,チャット分岐,,,
share,分享,Share,共有,,,
refresh_preview,刷新预览,Refresh Preview,プレビュー更新,,,
settings_title,设置,Settings,設定,,,
tab_provider,模型服务商,Model Provider,モデルプロバイダー,,,
tab_media,多媒体服务,Media Services,メディアサービス,,,
tab_parameters,参数设置,Parameter Settings,パラメータ設定,,,
tab_tools,工具与搜索,Tools & Search,ツールと検索,,,
tab_remote,远程部署,Remote Deploy,リモート配置,,,
tab_appearance,界面设置,Appearance,画面設定,,,
tab_backup,导入与导出,Import & Export,輸入と輸出,,,
tab_usage,用量统计,Usage Statistics,使用量統計,,,
tab_legal,水印设置和用户政策,Legal,法的事項と規約,,,
tab_about,关于 NeaiChat,About NeaiChat,NeaiChatについて,,,
theme,界面主题,Interface Theme,テーマ,,,
theme_light,浅色,Light,ライト,,,
theme_dark,深色,Dark,ダーク,,,
theme_system,跟随系统,Follow System,システムに従う,,,
language,界面语言,Language,言語,,,
language_desc,选择界面语言。,Choose language.,表示言語を選択してください。,,,
speech_button,语音按钮,Voice Button,音声ボタン,,,
speech_button_desc,控制输入框语音按钮的显示。,Control voice button visibility.,入力欄の音声ボタンの表示を制御。,,,
version,版本,Version,版本,,,
save,保存,Save,保存,,,
cancel,取消,Cancel,キャンセル,,,
confirm,确定,Confirm,確認,,,
export_json,导出数据 JSON,Export Data JSON,データJSON輸出,,,
import_json,导入数据 JSON,Import Data JSON,データJSON輸入,,,
reset_defaults,恢复默认配置,Reset to Defaults,初期設定に戻す,,,
api_key,API 密钥,API Key,APIキー,,,
endpoint_url,接口地址 (Base URL),Base URL,ベースURL,,,
model_name,模型名称,Model Name,モデル名,,,
temperature,随机性 (Temperature),Temperature,ランダム性,,,
max_tokens,最大 Tokens,Max Tokens,最大Token数,,,
system_prompt,系统提示词 (System Prompt),System Prompt,システムプロンプト,,,
lang_zh_cn,简体中文,Chinese (Simplified),簡体字中国語,,,
lang_en_us,English,English,英語,,,
lang_ja_jp,日本語,Japanese,日本語,,,
ok,好的,OK,OK,,,
close,关闭,Close,闭じる,,,
clear,清除,Clear,クリア,,,
watermark,显式水印,Explicit Watermark,透かし表示,,,
copy_code,复制代码,Copy code,コードをコピー,,,
sync_vfs_title,一键同步至虚拟文件系统,Sync to Virtual File System,仮想ファイルシステムへ同期,,,
vfs_synced,已同步 VFS,VFS Synced,VFS同期完了,,,
apply_vfs,应用至 VFS,Apply to VFS,VFSに適用,,,
tool_call,调用工具,Tool Call,ツール呼び出し,,,
parameters,参数,Parameters,パラメータ,,,
execution_result,执行结果,Execution Result,実行結果,,,
prev_version,上一版本,Previous version,前版本,,,
next_version,下一版本,Next version,次版本,,,
stop_speech,停止播放,Stop speech,再生停止,,,
read_aloud,语音朗读,Read aloud,朗読,,,
branch_chat_title,从此处派生新对话（分支）,Branch chat from here,ここからチャットを分岐,,,
unpin_message,取消固定,Unpin message,ピン留め解除,,,
pin_message,固定消息,Pin message,メッセージをピン留め,,,
copy_content,复制内容,Copy content,内容撕コピー,,,
delete_message,删除消息,Delete message,メッセージを削除,,,
prompt_library_subtitle,保存并快速复用常用提示词,Save and quickly reuse prompt templates,よく使うプロンプトを保存して再利用,,,
template_title_placeholder,模板标题,Template Title,テンプレートのタイトル,,,
template_content_placeholder,提示词内容...,Prompt content...,プロンプトの内容...,,,
save_template,保存模板,Save Template,テンプレートを保存,,,
new_template,新建提示词模板,New Prompt Template,新しいプロンプトテンプレート,,,
use_now,立即使用,Use Now,今すぐ使用,,,
download_media_title,下载媒体文件（包含元数据）,Download media file (Embedded AIGC Metadata),メディアファイルのダウンロード,,,
download_media,下载媒体文件,Download Media File,メディアファイルをダウンロード,,,
processing,处理中...,Processing...,処理中...,,,
cite_as_attachment,引用为附件,Cite as attachment,添付として引用,,,
download_image,下载图片,Download image,画像をダウンロード,,,
view_original_image,查看原图,View original image,原寸画像を表示,,,
chat_history_title,对话记录,Chat History,対话履歴,,,
aigc_declaration,AI 合成内容声明,AI Synthesized Content Statement,AI合成コンテンツ声明,,,
export_time,导出时间,Export Time,輸出時間,,,
message_count,消息总数,Total Messages,メッセージ総数,,,
model_name_label,生成模型,Model,生成モデル,,,
export_disclaimer,本文档包含 AI 人工智能合成内容。,🛡️ Exported from NeaiChat. Contains AI content.,🛡️ NeaiChatから出力。AIコンテンツを含みます。,,,
compressing_chat,正在压缩对话...,Compressing chat...,チャットを圧縮中...,,,
pinned_messages_count,已固定消息,Pinned Messages,ピン留めメッセージ,,,
view_in_chat,在聊天中查看,View in chat,チャット内で表示,,,
compressed_chat,已压缩对话,Compressed Chat,圧縮済みチャット,,,
context_summary_title,📦 历史对话冷区上下文压缩摘要,History Context Compression Summary,過去のコンテキスト圧縮サマリー,,,
cold_zone_extracted,冷区已结构化提炼,Cold zone structured,構造化抽出完了,,,
scroll_to_bottom,滚动到底部,Scroll to Bottom,最下部へスクロール,,,
upload_file,上传文件,Upload File,ファイルをアップロード,,,
upload_image,上传图片,Upload Image,画像をアップロード,,,
vfs_title,虚拟文件系统 (VFS),Virtual File System (VFS),仮想ファイルシステム (VFS),,,
vfs_desc,保存管理文件，不注入上下文,Save & manage files without injecting context,コンテキストを注入せずにファイルを保存管理,,,
compress_history,正在压缩历史...,Compressing history...,履歴を圧縮中...,,,
compress_chat,压缩对话,Compress Chat,チャットを圧縮,,,
compress_desc,拆分冷热数据，生成结构化摘要,Split cold/hot data & generate summary,冷熱データを分離し構造化要約を生成,,,
more_actions,更多操作,More Actions,その他の操作,,,
stop_voice_input,停止语音输入,Stop Voice Input,音声入力を停止,,,
voice_input,语音输入,Voice Input,音声入力,,,
run_code,运行代码,Run Code,コードを実行,,,
copied,已复制,Copied,コピー完了,,,
copy,复制,Copy,コピー,,,
fullscreen_display,全屏显示,Fullscreen,全画面表示,,,
menu_models_and_services,模型与服务,Models & Services,モデルとサービス,,,
menu_chat_and_experience,对话与体验,Chat & Experience,会話と体験,,,
menu_about_neaichat,关于 NeaiChat,About NeaiChat,NeaiChatについて,,,
tab_provider_desc,API Key 与服务供应商,API Key & Endpoint,APIキーとエンドポイント,,,
tab_media_desc,生图与视频 API 扩展,Image & Video API,画像・動画API拡張,,,
tab_remote_desc,远程连接与 MCP 协议,Remote & MCP,リモート接続とMCP,,,
tab_usage_desc,消耗统计与配额限制,Usage & Quotas,消耗統計とクォータ,,,
